"sourcePaperID","followedOutLinks","followedInLinks","numBFSLevels","outputEdgeList","numFoundNodes","numFoundEdges","userTime","systemTime","totalTime","maxMemory"
2099098790,True,False,2,"2099098790-true-false-2.txt",820,1092,2.590455,0.191963,2.782418,45900
2099098790,False,True,2,"2099098790-false-true-2.txt",441,550,2.431936,0.276006,2.707942,44456
2793401320,True,True,2,"2793401320-true-true-2.txt",43941,59029,26.489508999999998,2.833815,29.323324,207596
2793401320,True,False,2,"2793401320-true-false-2.txt",11981,15856,13.454081,0.971522,14.425603,185704
2793401320,False,True,2,"2793401320-false-true-2.txt",2,1,0.493863,0.12282599999999999,0.616689,44332
2055685098,True,True,2,"2055685098-true-true-2.txt",25247,30461,9.798924,0.966332,10.765255999999999,139136
2055685098,True,False,2,"2055685098-true-false-2.txt",2506,3123,4.711759,0.289749,5.001507999999999,85060
2055685098,False,True,2,"2055685098-false-true-2.txt",2,1,0.455864,0.098512,0.554376,44272
2602210025,True,True,2,"2602210025-true-true-2.txt",11015,19332,10.316311,1.195041,11.511352,153880
2602210025,True,False,2,"2602210025-true-false-2.txt",1066,3150,4.44161,0.365593,4.8072029999999994,81332
2602210025,False,True,2,"2602210025-false-true-2.txt",12,11,0.956422,0.12167599999999999,1.078098,44220
2073215980,True,True,2,"2073215980-true-true-2.txt",206045,209298,7.004402,0.602792,7.607194,168708
2073215980,True,False,2,"2073215980-true-false-2.txt",1020,1206,1.998945,0.153325,2.15227,44280
2073215980,False,True,2,"2073215980-false-true-2.txt",431,455,1.33724,0.142287,1.479527,44384
2162932719,True,True,2,"2162932719-true-true-2.txt",53761,142374,128.602983,13.745465,142.348448,248268
2162932719,True,False,2,"2162932719-true-false-2.txt",2014,3873,7.351563,0.551788,7.903351,126136
2162932719,False,True,2,"2162932719-false-true-2.txt",10350,31447,61.100038,5.978506,67.078544,216356
32828400,True,True,2,"32828400-true-true-2.txt",3847,4449,6.604135,0.6899219999999999,7.2940570000000005,82876
32828400,True,False,2,"32828400-true-false-2.txt",349,425,3.083028,0.248302,3.33133,55404
32828400,False,True,2,"32828400-false-true-2.txt",11,12,0.574767,0.07922799999999999,0.653995,44484
2104675313,True,True,2,"2104675313-true-true-2.txt",11950,17040,27.62178,2.983834,30.605614000000003,219664
2104675313,True,False,2,"2104675313-true-false-2.txt",134,156,1.105212,0.113549,1.218761,44404
2104675313,False,True,2,"2104675313-false-true-2.txt",5020,7169,13.493068,1.052306,14.545373999999999,191288
2044992504,True,True,2,"2044992504-true-true-2.txt",67545,90830,31.038812,3.170118,34.20893,234820
2044992504,True,False,2,"2044992504-true-false-2.txt",7909,11265,14.223332,1.035383,15.258714999999999,183656
2044992504,False,True,2,"2044992504-false-true-2.txt",199,199,1.638822,0.131235,1.770057,44328
2115398649,True,True,2,"2115398649-true-true-2.txt",2500,3060,3.7612449999999997,0.313672,4.074917,44752
2115398649,True,False,2,"2115398649-true-false-2.txt",838,961,1.713234,0.110244,1.823478,44580
2115398649,False,True,2,"2115398649-false-true-2.txt",13,12,0.5921219999999999,0.09045,0.682572,44276
1999199173,True,True,2,"1999199173-true-true-2.txt",23153,26151,7.096519,0.8278449999999999,7.924364,87800
1999199173,True,False,2,"1999199173-true-false-2.txt",1604,1747,3.5814079999999997,0.235861,3.8172689999999996,63808
1999199173,False,True,2,"1999199173-false-true-2.txt",1,0,0.385891,0.10294199999999999,0.48883299999999996,44420
2072214524,True,True,2,"2072214524-true-true-2.txt",16935,19193,6.794657,0.733246,7.527903,76608
2072214524,True,False,2,"2072214524-true-false-2.txt",1596,1891,2.3016959999999997,0.192732,2.4944279999999996,44524
2072214524,False,True,2,"2072214524-false-true-2.txt",388,391,1.420585,0.17352099999999998,1.594106,44264
2166322175,True,True,2,"2166322175-true-true-2.txt",1161,1371,3.1067,0.392775,3.499475,44780
2166322175,True,False,2,"2166322175-true-false-2.txt",67,86,1.09352,0.11664999999999999,1.21017,44488
2166322175,False,True,2,"2166322175-false-true-2.txt",239,240,0.924631,0.096375,1.021006,44424
2167684097,True,True,2,"2167684097-true-true-2.txt",3263,5645,4.212651,0.44145999999999996,4.654111,61484
2167684097,True,False,2,"2167684097-true-false-2.txt",407,638,1.574374,0.12221499999999999,1.696589,44364
2167684097,False,True,2,"2167684097-false-true-2.txt",20,19,1.050485,0.07224799999999999,1.122733,44444
2116068355,True,True,2,"2116068355-true-true-2.txt",46140,53284,10.940083,1.11389,12.053973,143344
2116068355,True,False,2,"2116068355-true-false-2.txt",1187,1920,4.047895,0.306903,4.354798,72948
2116068355,False,True,2,"2116068355-false-true-2.txt",342,397,1.523723,0.17714,1.700863,44368
2048726021,True,True,2,"2048726021-true-true-2.txt",5111,7485,7.459915,0.9514119999999999,8.411327,117700
2048726021,True,False,2,"2048726021-true-false-2.txt",867,1190,2.939712,0.228459,3.168171,51216
2048726021,False,True,2,"2048726021-false-true-2.txt",180,184,1.262612,0.150671,1.413283,44720
1549514523,True,True,2,"1549514523-true-true-2.txt",18358,34443,27.044384,2.956298,30.000682,218180
